filename,domain
/home/abbas.omidi/multitask_model/Data/Images/CC0001_philips_15_55_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0001_philips_15_55_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0002_philips_15_56_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0002_philips_15_56_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0005_philips_15_62_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0005_philips_15_62_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0006_philips_15_63_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0006_philips_15_63_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0007_philips_15_62_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0007_philips_15_62_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0008_philips_15_60_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0008_philips_15_60_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0009_philips_15_69_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0009_philips_15_69_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0010_philips_15_69_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0010_philips_15_69_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0011_philips_15_49_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0011_philips_15_49_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0012_philips_15_43_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0012_philips_15_43_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0013_philips_15_66_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0013_philips_15_66_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0014_philips_15_62_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0014_philips_15_62_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0015_philips_15_44_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0015_philips_15_44_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0016_philips_15_55_M.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0016_philips_15_55_M_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0017_philips_15_50_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0017_philips_15_50_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0018_philips_15_41_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0018_philips_15_41_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0019_philips_15_57_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0019_philips_15_57_F_neg.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0020_philips_15_65_F.nii.gz,1
/home/abbas.omidi/multitask_model/Data/Images/CC0020_philips_15_65_F_neg.nii.gz,1
